,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
884,0.704,0.71,8,-7.387,1,0.0284,0.533,0.0011,0.148,0.897,123.89,audio_features,2pfAvgMoHLfialvMYn337d,spotify:track:2pfAvgMoHLfialvMYn337d,https://api.spotify.com/v1/tracks/2pfAvgMoHLfialvMYn337d,https://api.spotify.com/v1/audio-analysis/2pfAvgMoHLfialvMYn337d,237760,4
885,0.438,0.727,8,-4.48,1,0.0434,0.0342,4.71e-05,0.0934,0.241,131.162,audio_features,6BCtcTbcAyXRx3AKRgnWEk,spotify:track:6BCtcTbcAyXRx3AKRgnWEk,https://api.spotify.com/v1/tracks/6BCtcTbcAyXRx3AKRgnWEk,https://api.spotify.com/v1/audio-analysis/6BCtcTbcAyXRx3AKRgnWEk,273036,4
886,0.732,0.483,6,-13.656,1,0.13,0.742,0.326,0.107,0.464,126.053,audio_features,4XWHfXGE0MvK1qMjpSbTiB,spotify:track:4XWHfXGE0MvK1qMjpSbTiB,https://api.spotify.com/v1/tracks/4XWHfXGE0MvK1qMjpSbTiB,https://api.spotify.com/v1/audio-analysis/4XWHfXGE0MvK1qMjpSbTiB,109296,4
887,0.781,0.465,6,-11.028,0,0.268,0.0532,0.0,0.0933,0.451,102.986,audio_features,3rKZuDrVxEcHLcHwIp2I2z,spotify:track:3rKZuDrVxEcHLcHwIp2I2z,https://api.spotify.com/v1/tracks/3rKZuDrVxEcHLcHwIp2I2z,https://api.spotify.com/v1/audio-analysis/3rKZuDrVxEcHLcHwIp2I2z,205404,4
888,0.577,0.811,2,-5.123,1,0.075,0.0394,0.0,0.11,0.666,92.002,audio_features,1pJzl0YsxaWj6BbPs1mUuQ,spotify:track:1pJzl0YsxaWj6BbPs1mUuQ,https://api.spotify.com/v1/tracks/1pJzl0YsxaWj6BbPs1mUuQ,https://api.spotify.com/v1/audio-analysis/1pJzl0YsxaWj6BbPs1mUuQ,181421,4
889,0.612,0.651,2,-8.292,0,0.19,0.313,0.0,0.114,0.556,182.87,audio_features,4fRzunTZ51UC0oNwoVqiKB,spotify:track:4fRzunTZ51UC0oNwoVqiKB,https://api.spotify.com/v1/tracks/4fRzunTZ51UC0oNwoVqiKB,https://api.spotify.com/v1/audio-analysis/4fRzunTZ51UC0oNwoVqiKB,202723,3
890,0.708,0.781,11,-8.267,0,0.0638,0.163,0.885,0.392,0.345,74.997,audio_features,4yyX0nJqMpqaubcGdGsxx9,spotify:track:4yyX0nJqMpqaubcGdGsxx9,https://api.spotify.com/v1/tracks/4yyX0nJqMpqaubcGdGsxx9,https://api.spotify.com/v1/audio-analysis/4yyX0nJqMpqaubcGdGsxx9,166579,4
891,0.801,0.589,7,-5.157,1,0.0485,0.0863,0.0,0.162,0.58,116.934,audio_features,23TPP1eeElFfvYVznskwCY,spotify:track:23TPP1eeElFfvYVznskwCY,https://api.spotify.com/v1/tracks/23TPP1eeElFfvYVznskwCY,https://api.spotify.com/v1/audio-analysis/23TPP1eeElFfvYVznskwCY,180147,4
892,0.41,0.655,0,-6.701,1,0.0313,0.613,0.000117,0.329,0.495,174.021,audio_features,292JruITePIpFvRpPb85GF,spotify:track:292JruITePIpFvRpPb85GF,https://api.spotify.com/v1/tracks/292JruITePIpFvRpPb85GF,https://api.spotify.com/v1/audio-analysis/292JruITePIpFvRpPb85GF,175500,4
893,0.637,0.501,0,-6.148,0,0.187,0.229,5.91e-05,0.099,0.431,103.993,audio_features,6XM53PbvlzhuNtJZtpl7RP,spotify:track:6XM53PbvlzhuNtJZtpl7RP,https://api.spotify.com/v1/tracks/6XM53PbvlzhuNtJZtpl7RP,https://api.spotify.com/v1/audio-analysis/6XM53PbvlzhuNtJZtpl7RP,185461,4
894,0.639,0.756,1,-4.42,1,0.0606,0.0055,0.0,0.13,0.531,128.931,audio_features,1rqb2FCXVn2HNL1afJEnTr,spotify:track:1rqb2FCXVn2HNL1afJEnTr,https://api.spotify.com/v1/tracks/1rqb2FCXVn2HNL1afJEnTr,https://api.spotify.com/v1/audio-analysis/1rqb2FCXVn2HNL1afJEnTr,211867,4
895,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,audio_features,1LIqNVhaIgxXUt2eVoIQJ3,spotify:track:1LIqNVhaIgxXUt2eVoIQJ3,https://api.spotify.com/v1/tracks/1LIqNVhaIgxXUt2eVoIQJ3,https://api.spotify.com/v1/audio-analysis/1LIqNVhaIgxXUt2eVoIQJ3,184436,4
896,0.618,0.823,7,-4.76,1,0.0447,0.0132,0.0,0.288,0.58,82.004,audio_features,68rVGSTnCiFOET9k5Vd8Se,spotify:track:68rVGSTnCiFOET9k5Vd8Se,https://api.spotify.com/v1/tracks/68rVGSTnCiFOET9k5Vd8Se,https://api.spotify.com/v1/audio-analysis/68rVGSTnCiFOET9k5Vd8Se,171880,4
